user_id,book_id,rating
1,6253,4
1,4685,2
1,1732,3
1,4743,5
1,4522,3
1,6341,2
1,577,1
1,5203,4
1,6364,5
1,440,1
1,2751,1
1,7488,3
1,5273,2
1,5654,3
1,4000,2
1,6034,3
2,9491,4
2,94,1
2,2215,5
2,5813,3
2,7242,2
2,4898,2
2,5407,5
2,3678,3
2,1583,2
2,9535,5
2,8957,4
2,9595,1
2,1132,3
2,8196,2
2,6355,1
2,5678,5
2,1357,2
2,5338,1
2,7041,4
2,4449,3
2,1827,5
2,883,2
2,3623,4
2,8443,3
2,6556,3
2,9390,4
3,7139,3
3,563,2
3,4594,5
3,4006,3
3,3804,4
3,1278,3
3,6156,4
3,8865,4
3,6476,4
3,3113,5
3,1521,4
3,7909,3
3,226,1
3,2263,3
3,9130,5
3,7552,4
3,2755,1
3,8357,5
3,6765,2
3,2072,2
3,1192,2
3,8732,1
3,5825,3
3,2565,1
3,538,1
3,6888,1
3,8869,2
4,6340,4
4,8992,2
4,1924,5
4,7097,5
4,858,2
4,2224,2
4,8177,3
4,6949,1
4,7089,3
4,7290,4
4,9018,2
4,3671,3
4,893,1
4,8190,1
4,2150,2
5,6489,5
5,7085,4
5,3228,5
5,7608,3
5,3727,5
5,4841,1
5,3743,5
5,6140,2
5,2887,3
5,509,1
5,6031,1
5,876,4
5,2086,4
5,9367,3
5,804,1
6,371,2
6,8667,1
6,3627,3
6,6688,4
6,6846,2
6,3457,5
6,7908,5
6,2736,2
6,4126,2
6,2631,2
6,2153,1
6,9223,5
6,7429,5
6,1871,1
6,9485,3
6,468,5
6,7377,3
6,5599,3
6,9939,3
6,5736,5
6,7807,4
6,1002,3
6,343,4
7,997,4
7,2687,5
7,4203,2
7,5842,5
7,3183,2
7,1247,3
7,4403,1
7,4351,2
7,2806,4
7,2296,1
7,7763,5
7,1218,5
7,7455,2
7,244,4
7,9109,2
8,359,2
8,9923,4
8,3995,5
8,7644,1
8,8062,4
8,279,2
8,4589,5
8,4294,4
8,1164,5
8,8499,5
8,9465,1
8,5415,2
8,2729,3
8,5118,3
8,5423,3
8,8066,4
9,3000,4
9,7696,1
9,2456,2
9,6414,2
9,3384,3
9,7465,3
9,4058,2
9,1270,4
9,7221,5
9,8783,3
9,8199,3
9,7429,1
9,8521,5
9,9671,3
9,6506,5
9,1995,5
9,1561,1
9,7828,2
9,7954,2
9,3719,3
9,8277,1
9,3252,3
9,8130,3
9,9051,2
10,3254,1
10,910,1
10,1192,3
10,9087,4
10,2054,5
10,7660,4
10,4572,1
10,7540,4
10,9627,1
10,6287,3
10,799,2
10,7335,5
10,1263,2
10,4130,4
10,2739,1
10,3612,2
10,8324,3
10,172,4
11,9035,4
11,1548,5
11,267,1
11,1842,4
11,9973,3
11,6014,1
11,7327,2
11,4101,4
11,8284,1
11,2535,2
11,9343,2
12,9978,5
12,6961,5
12,7860,5
12,9181,5
12,3684,1
12,8837,4
12,3676,2
12,5976,1
12,7893,5
12,3027,3
12,8390,5
12,3268,1
13,541,4
13,1944,1
13,5941,3
13,9252,2
13,1899,3
13,7979,2
13,9977,4
13,5704,3
13,1068,1
13,6825,1
13,5589,3
13,8656,3
13,6388,1
13,2073,4
13,2906,5
13,6787,3
13,9374,3
13,5967,1
13,1711,1
13,7735,1
13,6860,1
13,580,3
13,3101,2
13,2487,1
13,3338,4
13,4294,4
14,1736,5
14,6706,1
14,6594,4
14,9613,3
14,9437,5
14,4705,1
14,3109,2
14,1658,2
14,7196,3
14,8341,2
14,2997,1
14,2826,2
14,321,2
14,4002,5
14,6060,1
14,2867,1
14,5592,1
14,7120,4
14,1430,1
14,2141,5
14,2728,2
14,5795,2
14,3989,2
15,6124,5
15,3763,4
15,8810,4
15,9462,1
15,3201,5
15,5611,4
15,9141,2
15,46,1
15,7564,2
15,3361,5
15,5094,5
15,9857,2
15,7163,3
15,346,1
15,2523,2
15,981,2
